1,C SHIVAJI MAH T,1,Source,Source,No Delay,07:10 AM,07:40 AM,30 Mins, 0 Kms,10103
2,Dadar,1,07:22 AM,07:55 AM,33 Mins,07:25 AM,07:57 AM,32 Mins, 8 Kms,5,10103
3,Thane,1,07:46 AM,08:20 AM,34 Mins,07:50 AM,08:22 AM,32 Mins, 33 Kms,5,10103
4,Panvel,1,08:25 AM,09:28 AM,1 Hr 3 Mins,08:30 AM,09:34 AM,1 Hr 4 Mins, 68 Kms,10103
5,Mangaon,1,10:34 AM,11:15 AM,41 Mins,10:35 AM,11:17 AM,42 Mins, 182 Kms,10103
6,Khed,1,11:26 AM,12:43 PM,1 Hr 17 Mins,11:27 AM,12:45 PM,1 Hr 18 Mins, 277 Kms,10103
7,Chiplun,1,11:58 AM,01:17 PM,1 Hr 19 Mins,11:59 AM,01:20 PM,1 Hr 21 Mins, 319 Kms,10103
8,Sangmeshwar,1,12:35 PM,02:01 PM,1 Hr 26 Mins,12:36 PM,02:02 PM,1 Hr 26 Mins, 378 Kms,10103
9,Ratnagiri,1,01:15 PM,02:43 PM,1 Hr 28 Mins,01:20 PM,02:52 PM,1 Hr 32 Mins, 425 Kms,10103
10,Adavali,1,01:54 PM,03:30 PM,1 Hr 36 Mins,01:55 PM,03:31 PM,1 Hr 36 Mins, 469 Kms,10103
11,Rajapur Road,1,02:30 PM,04:20 PM,1 Hr 50 Mins,02:31 PM,04:21 PM,1 Hr 50 Mins, 514 Kms,10103
12,Vaibhavwadi Rd,1,02:46 PM,04:36 PM,1 Hr 50 Mins,02:47 PM,04:37 PM,1 Hr 50 Mins, 537 Kms,10103
13,Kankavali,1,03:19 PM,05:07 PM,1 Hr 48 Mins,03:20 PM,05:08 PM,1 Hr 48 Mins, 581 Kms,10103
14,Sindhudurg,1,03:40 PM,05:25 PM,1 Hr 45 Mins,03:41 PM,05:26 PM,1 Hr 45 Mins, 605 Kms,10103
15,Kudal,1,03:54 PM,05:37 PM,1 Hr 43 Mins,03:55 PM,05:49 PM,1 Hr 54 Mins, 620 Kms,10103
16,Sawantwadi Road,1,04:15 PM,06:08 PM,1 Hr 53 Mins,04:16 PM,06:09 PM,1 Hr 53 Mins, 649 Kms,10103
17,Pernem,1,04:41 PM,06:28 PM,1 Hr 47 Mins,04:42 PM,07:39 PM,2 Hrs 57 Mins, 680 Kms,10103
18,Thivim,1,04:54 PM,07:53 PM,2 Hrs 59 Mins,04:55 PM,07:55 PM,3 Hrs, 690 Kms,10103
19,Karmali,1,05:13 PM,08:13 PM,3 Hrs,05:14 PM,08:14 PM,3 Hrs, 708 Kms,10103
20,Majorda,1,06:00 PM,08:47 PM,2 Hrs 47 Mins,06:17 PM,08:47 PM,2 Hrs 47 Mins, 729 Kms,10103
1,Madgaon,1,Source,Source,No Delay,09:15 AM,09:15 AM,No Delay, 0 Kms,10104
2,Karmali,1,09:47 AM,10:15 AM,28 Mins,09:48 AM,10:29 AM,41 Mins, 31 Kms,10104
3,Thivim,1,10:07 AM,10:51 AM,44 Mins,10:08 AM,10:52 AM,44 Mins, 49 Kms,10104
4,Pernem,1,10:21 AM,11:07 AM,46 Mins,10:22 AM,11:08 AM,46 Mins, 60 Kms,10104
5,Sawantwadi Road,1,10:41 AM,11:25 AM,44 Mins,10:42 AM,11:27 AM,45 Mins, 90 Kms,10104
6,Kudal,1,11:03 AM,12:02 PM,59 Mins,11:04 AM,12:16 PM,1 Hr 12 Mins, 119 Kms,10104
7,Sindhudurg,1,11:16 AM,12:27 PM,1 Hr 11 Mins,11:17 AM,12:28 PM,1 Hr 11 Mins, 134 Kms,10104
8,Kankavali,1,11:34 AM,12:47 PM,1 Hr 13 Mins,11:35 AM,12:48 PM,1 Hr 13 Mins, 158 Kms,10104
9,Vaibhavwadi Rd,1,12:07 PM,02:02 PM,1 Hr 55 Mins,12:08 PM,02:03 PM,1 Hr 55 Mins, 202 Kms,10104
10,Rajapur Road,1,12:24 PM,02:18 PM,1 Hr 54 Mins,12:25 PM,02:19 PM,1 Hr 54 Mins, 225 Kms,10104
11,Adavali,1,12:50 PM,02:57 PM,2 Hrs 7 Mins,12:51 PM,02:59 PM,2 Hrs 8 Mins, 270 Kms,10104
12,Ratnagiri,1,01:30 PM,03:29 PM,1 Hr 59 Mins,01:35 PM,03:35 PM,2 Hrs, 314 Kms,10104
13,Sangmeshwar,1,02:46 PM,04:10 PM,1 Hr 24 Mins,02:47 PM,04:11 PM,1 Hr 24 Mins, 361 Kms,10104
14,Chiplun,1,03:27 PM,04:53 PM,1 Hr 26 Mins,03:28 PM,04:56 PM,1 Hr 28 Mins, 420 Kms,10104
15,Khed,1,03:56 PM,05:25 PM,1 Hr 29 Mins,03:57 PM,05:32 PM,1 Hr 35 Mins, 462 Kms,10104
16,Mangaon,1,05:09 PM,06:41 PM,1 Hr 32 Mins,05:10 PM,06:44 PM,1 Hr 34 Mins, 557 Kms,10104
17,Panvel,1,07:25 PM,08:20 PM,55 Mins,07:30 PM,08:33 PM,1 Hr 3 Mins, 671 Kms,10104
18,Thane,1,08:37 PM,09:02 PM,25 Mins,08:40 PM,09:03 PM,23 Mins, 707 Kms,10104
19,Dadar,1,09:02 PM,09:21 PM,19 Mins,09:05 PM,09:24 PM,19 Mins, 731 Kms,10104
1,Madgaon,1,Source,Source,No Delay,06:00 PM,06:15 PM,15 Mins, 0 Kms,10112
2,Karmali,1,06:31 PM,06:59 PM,28 Mins,06:32 PM,07:00 PM,28 Mins, 31 Kms,10112
3,Thivim,1,06:54 PM,07:22 PM,28 Mins,06:55 PM,07:23 PM,28 Mins, 49 Kms,10112
4,Pernem,1,07:10 PM,07:37 PM,27 Mins,07:11 PM,07:38 PM,27 Mins, 60 Kms,10112
5,Sawantwadi Road,1,07:36 PM,07:58 PM,22 Mins,07:37 PM,07:59 PM,22 Mins, 90 Kms,10112
6,Kudal,1,08:09 PM,08:19 PM,10 Mins,08:10 PM,08:20 PM,10 Mins, 119 Kms,10112
7,Sindhudurg,1,08:29 PM,08:34 PM,5 Mins,08:30 PM,08:35 PM,5 Mins, 134 Kms,10112
8,Kankavali,1,09:09 PM,08:52 PM,17M Before,09:10 PM,09:10 PM,No Delay, 158 Kms,10112
9,Vaibhavwadi Rd,1,09:39 PM,09:53 PM,14 Mins,09:40 PM,09:54 PM,14 Mins, 202 Kms,10112
10,Rajapur Road,1,09:53 PM,10:11 PM,18 Mins,09:54 PM,10:12 PM,18 Mins, 225 Kms,10112
11,Vilavade,1,10:10 PM,10:29 PM,19 Mins,10:11 PM,10:30 PM,19 Mins, 248 Kms,10112
12,Ratnagiri,1,11:00 PM,11:12 PM,12 Mins,11:05 PM,11:22 PM,17 Mins, 314 Kms,10112
13,Sangmeshwar,1,11:47 PM,11:55 PM,8 Mins,11:48 PM,11:57 PM,9 Mins, 361 Kms,10112
14,Chiplun,2,12:31 AM,12:35 AM,4 Mins,12:32 AM,12:37 AM,5 Mins, 420 Kms,10112
15,Khed,2,01:01 AM,01:04 AM,3 Mins,01:02 AM,01:05 AM,3 Mins, 462 Kms,10112
16,Mangaon,2,02:12 AM,02:12 AM,No Delay,02:14 AM,02:14 AM,No Delay, 557 Kms,10112
17,Panvel,2,04:05 AM,03:54 AM,11M Before,04:10 AM,04:11 AM,1 Min, 671 Kms,10112
18,Thane,2,04:52 AM,04:52 AM,No Delay,04:55 AM,04:55 AM,No Delay, 707 Kms,6,10112
19,Dadar,2,05:17 AM,05:17 AM,No Delay,05:20 AM,05:20 AM,No Delay, 731 Kms,6,10112
1,Ernakulam Jn,1,Source,Source,No Delay,01:50 PM,05:35 PM,3 Hrs 45 Mins, 0 Kms,10216
2,Aluva,1,02:13 PM,06:07 PM,3 Hrs 54 Mins,02:15 PM,06:09 PM,3 Hrs 54 Mins, 19 Kms,10216
3,Thrisur,1,03:07 PM,07:16 PM,4 Hrs 9 Mins,03:10 PM,07:18 PM,4 Hrs 8 Mins, 74 Kms,10216
4,Shoranur Jn,1,03:55 PM,08:02 PM,4 Hrs 7 Mins,04:00 PM,08:14 PM,4 Hrs 14 Mins, 107 Kms,10216
5,Tirur,1,04:38 PM,09:00 PM,4 Hrs 22 Mins,04:40 PM,09:02 PM,4 Hrs 22 Mins, 152 Kms,10216
6,Kozhikkode,1,05:20 PM,09:48 PM,4 Hrs 28 Mins,05:25 PM,09:53 PM,4 Hrs 28 Mins, 192 Kms,10216
7,Kannur,1,06:45 PM,11:13 PM,4 Hrs 28 Mins,06:50 PM,11:17 PM,4 Hrs 27 Mins, 282 Kms,10216
8,Kasaragod,2,07:53 PM,12:21 AM,4 Hrs 28 Mins,07:55 PM,12:23 AM,4 Hrs 28 Mins, 367 Kms,10216
9,Mangaluru Jn,2,08:55 PM,01:12 AM,4 Hrs 17 Mins,09:05 PM,01:30 AM,4 Hrs 25 Mins, 419 Kms,10216
10,Udupi,2,10:34 PM,02:47 AM,4 Hrs 13 Mins,10:36 PM,02:48 AM,4 Hrs 12 Mins, 485 Kms,10216
11,Bhatkal,2,11:50 PM,04:11 AM,4 Hrs 21 Mins,11:52 PM,04:17 AM,4 Hrs 25 Mins, 565 Kms,10216
12,Karwar,2,01:26 AM,06:55 AM,5 Hrs 29 Mins,01:28 AM,06:56 AM,5 Hrs 28 Mins, 674 Kms,10216
13,Balli,2,02:25 AM,07:52 AM,5 Hrs 27 Mins,03:02 AM,07:52 AM,5 Hrs 27 Mins, 716 Kms,10216
1,Kota Jn,1,Source,Source,No Delay,09:10 PM,09:10 PM,No Delay, 0 Kms,1,09809
2,Indargarh,1,09:59 PM,10:26 PM,27 Mins,10:00 PM,10:27 PM,27 Mins, 71 Kms,09809
3,Sawai Madhopur,1,10:26 PM,10:58 PM,32 Mins,10:28 PM,11:00 PM,32 Mins, 107 Kms,09809
